Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
Tesla,Model X,2018,95876,2019-12-13,Electrique,Manuelle,130,Euro 1,Bleu,Break,Japon,120000,92199.0
Hyundai,i20,2006,49479,2007-12-18,Diesel,Automatique,150,Euro 3,Noir,SUV,USA,19500,9660.0
BMW,Serie 1,2008,247634,2008-10-13,Diesel,Automatique,110,Euro 3,Noir,Monospace,Espagne,35000,10668.0
Peugeot,208,2023,86727,2024-08-19,Gaz,Automatique,130,Euro 6,Gris,SUV,Espagne,18000,20292.0
Renault,Clio,2005,235589,2007-07-02,Gaz,Automatique,200,Euro 3,Blanc,Crossover,Espagne,17000,4500.0
Tesla,Model S,2008,25831,2008-02-10,Electrique,Manuelle,150,Euro 1,Bleu,Crossover,USA,95000,50750.0
Hyundai,i20,2014,68231,2016-08-18,Gaz,Automatique,130,Euro 4,Blanc,Berline,France,19500,15552.0
Dacia,Sandero,2007,32215,2007-09-06,Diesel,Automatique,130,Euro 3,Blanc,SUV,Espagne,15900,8832.0
BMW,Serie 1,2021,173310,2022-08-18,Gaz,Automatique,200,Euro 6,Bleu,Crossover,Espagne,35000,29970.0
Mercedes,Classe E,2012,205570,2015-01-30,Essence,Manuelle,130,Euro 4,Blanc,Break,Espagne,75000,33132.0
Toyota,RAV4,2011,41762,2014-04-17,Essence,Automatique,150,Euro 4,Gris,Berline,Espagne,37000,22515.0
Porsche,Carrera 4 GTS Cabriolet,2018,198462,2018-06-06,Essence,Automatique,90,Euro 5,Gris,Monospace,France,197400,125559.0
Citroen,C3 Berlin,2024,145382,2027-11-21,Hybride,Automatique,110,Euro 1,Gris,Berline,USA,21800,23994.0
Peugeot,208,2010,109562,2013-04-11,Hybride,Automatique,130,Euro 1,Bleu,Crossover,USA,18000,11664.0
Kia,Sportage,2024,186326,2025-10-11,Essence,Automatique,200,Euro 6,Rouge,Berline,Allemagne,48039,41851.98
Peugeot,208,2022,88787,2025-11-14,Gaz,Automatique,130,Euro 6,Blanc,Berline,Espagne,18000,19608.0
Dacia,Spring,2009,243550,2012-03-06,Gaz,Manuelle,150,Euro 3,Rouge,Berline,Italie,22000,7750.0
Citroen,C3 Berlin,2007,39417,2010-03-29,Gaz,Manuelle,130,Euro 3,Blanc,Crossover,USA,21800,11316.0
Toyota,Hilux,2024,217563,2025-07-02,Electrique,Automatique,130,Euro 1,Gris,Berline,Japon,45000,42107.0
Citroen,C3 Berlin,2014,51154,2017-05-25,Essence,Manuelle,130,Euro 4,Noir,SUV,Espagne,21800,14365.0
Peugeot,3008,2010,153485,2011-05-14,Hybride,Automatique,130,Euro 1,Gris,Crossover,Italie,35000,17759.0
Hyundai,i30,2016,84708,2018-03-10,Hybride,Manuelle,130,Euro 1,Noir,Break,Espagne,22000,17884.0
Tesla,Model X,2020,147573,2023-06-14,Electrique,Manuelle,90,Euro 1,Bleu,SUV,USA,120000,93166.0
Nissan,Qashqai,2007,114000,2008-04-24,Diesel,Automatique,150,Euro 3,Rouge,Berline,Allemagne,34700,14516.0
BMW,Serie 5,2006,236611,2006-03-09,Diesel,Automatique,90,Euro 3,Gris,Break,Japon,65000,15617.0
BMW,X5,2008,33036,2008-04-25,Diesel,Automatique,90,Euro 3,Rouge,Break,Italie,80000,40621.0
Volkswagen,Tiguan,2015,18997,2017-02-21,Gaz,Manuelle,200,Euro 5,Noir,Berline,Japon,40000,31320.0
BMW,X5,2022,183131,2022-07-07,Hybride,Manuelle,150,Euro 1,Gris,Monospace,Espagne,80000,64220.0
Ford,Focus,2021,216134,2022-07-22,Essence,Automatique,200,Euro 6,Gris,Break,Italie,30550,23485.0
Dacia,Duster,2016,154047,2016-04-25,Gaz,Automatique,130,Euro 5,Noir,Break,France,19900,15067.0
Kia,Proceed,2021,237512,2021-04-23,Gaz,Manuelle,110,Euro 6,Rouge,SUV,Italie,33000,24208.0
Porsche,Taycan 4 Cross Turismmo,2006,122333,2009-12-15,Essence,Automatique,200,Euro 3,Bleu,Crossover,Italie,117450,40953.0
Renault,Captur,2024,50638,2026-02-22,Hybride,Manuelle,90,Euro 1,Blanc,Monospace,USA,28000,30305.0
Toyota,Yaris,2024,224265,2027-05-13,Hybride,Automatique,200,Euro 1,Gris,Berline,Espagne,19000,20280.0
Mercedes,Classe C,2014,19597,2017-11-30,Essence,Manuelle,110,Euro 4,Blanc,Berline,Japon,55000,38019.0
Kia,EV6,2016,27021,2016-08-05,Diesel,Manuelle,110,Euro 5,Noir,Monospace,USA,64607,48623.18
Hyundai,Tucson,2011,107101,2012-07-09,Diesel,Automatique,110,Euro 4,Blanc,Crossover,USA,35000,19431.0
Kia,EV6,2016,113657,2018-02-23,Hybride,Automatique,90,Euro 1,Bleu,Crossover,Italie,64607,45829.55
Porsche,Taycan 4 Cross Turismmo,2021,199002,2021-06-13,Essence,Automatique,200,Euro 6,Rouge,Break,Espagne,117450,86724.0
